Unix,Date,Symbol,Open,High,Low,Close,Volume BCH,Volume EUR,tradecount
1717286400000,2024-06-02,BCHEUR,426.8,428.2,417.6,423.3,43.532,18379.2031,69
1717200000000,2024-06-01,BCHEUR,420.3,428.2,420.3,428.2,11.925,5055.9197,31
1717113600000,2024-05-31,BCHEUR,428.2,431.1,413.9,419.6,77.711,32947.4636,125
1717027200000,2024-05-30,BCHEUR,430.2,437.7,425.4,429.7,73.805,31725.2829,121
1716940800000,2024-05-29,BCHEUR,433.4,437.0,428.6,431.2,69.062,29913.2102,124
1716854400000,2024-05-28,BCHEUR,449.4,449.4,424.8,433.7,179.593,77729.268,612
1716768000000,2024-05-27,BCHEUR,446.4,462.2,443.6,450.3,55.132,25031.8537,221
1716681600000,2024-05-26,BCHEUR,453.3,454.5,444.2,448.2,46.118,20680.6626,156
1716595200000,2024-05-25,BCHEUR,456.2,463.3,453.3,453.3,81.718,37361.9442,157
1716508800000,2024-05-24,BCHEUR,457.4,461.0,444.1,456.1,161.409,73196.325,850
1716422400000,2024-05-23,BCHEUR,461.9,475.8,437.8,452.3,264.466,122095.2954,1024
1716336000000,2024-05-22,BCHEUR,471.4,471.4,457.5,460.8,345.689,160455.4315,1110
1716249600000,2024-05-21,BCHEUR,469.5,484.5,464.1,470.9,415.375,197218.912,819
1716163200000,2024-05-20,BCHEUR,443.8,468.2,438.0,468.0,326.557,147819.9582,960
1716076800000,2024-05-19,BCHEUR,436.5,456.9,436.5,446.2,307.798,138054.1241,484
1715990400000,2024-05-18,BCHEUR,427.7,452.7,427.7,438.1,213.13,94368.9089,380
1715904000000,2024-05-17,BCHEUR,409.0,439.8,409.0,428.4,237.807,102380.1719,446
1715817600000,2024-05-16,BCHEUR,425.9,427.0,407.5,409.6,73.968,30758.1362,111
1715731200000,2024-05-15,BCHEUR,397.4,427.3,392.0,426.0,328.24,135058.4798,460
1715644800000,2024-05-14,BCHEUR,405.5,406.6,396.2,397.1,141.414,56869.7229,279
1715558400000,2024-05-13,BCHEUR,404.0,414.5,391.8,405.4,138.908,56133.6005,220
1715472000000,2024-05-12,BCHEUR,398.8,407.6,398.0,402.8,53.112,21376.7531,265
1715385600000,2024-05-11,BCHEUR,397.0,403.9,395.6,400.0,96.524,38576.422,643
1715299200000,2024-05-10,BCHEUR,421.0,423.9,391.8,397.1,218.716,89574.757,1410
1715212800000,2024-05-09,BCHEUR,417.3,425.3,410.9,421.9,119.36,49956.9578,767
1715126400000,2024-05-08,BCHEUR,438.8,440.7,413.2,417.1,289.756,123464.4635,2675
1715040000000,2024-05-07,BCHEUR,438.0,458.6,433.8,440.2,236.731,105420.143,1823
1714953600000,2024-05-06,BCHEUR,435.2,450.0,429.9,439.7,214.308,94188.0695,1850
1714867200000,2024-05-05,BCHEUR,430.9,437.7,424.1,436.7,96.089,41515.6215,423
1714780800000,2024-05-04,BCHEUR,423.8,445.2,423.8,430.8,211.101,91696.2147,656
1714694400000,2024-05-03,BCHEUR,401.4,426.8,397.2,421.0,181.485,74677.3381,845
1714608000000,2024-05-02,BCHEUR,398.8,405.1,385.0,400.6,105.344,41945.2678,1029
1714521600000,2024-05-01,BCHEUR,407.1,408.8,375.0,397.8,367.09,143487.5378,2007
1714435200000,2024-04-30,BCHEUR,432.5,437.9,394.1,407.1,427.991,175824.06,762
1714348800000,2024-04-29,BCHEUR,439.8,443.1,418.0,438.0,277.63,118995.657,269
1714262400000,2024-04-28,BCHEUR,449.6,456.6,439.5,439.5,48.912,22015.8438,122
1714176000000,2024-04-27,BCHEUR,451.9,452.8,434.7,447.4,146.413,65076.5313,229
1714089600000,2024-04-26,BCHEUR,443.5,460.9,435.7,451.9,112.949,50706.4359,591
1714003200000,2024-04-25,BCHEUR,447.9,452.7,437.6,447.0,148.3,66100.959,240
1713916800000,2024-04-24,BCHEUR,474.5,478.2,443.9,448.4,336.452,156847.3415,1095
1713830400000,2024-04-23,BCHEUR,491.2,491.4,470.0,472.0,61.461,29441.7788,274
1713744000000,2024-04-22,BCHEUR,474.7,496.1,466.1,490.9,106.161,51508.0599,269
1713657600000,2024-04-21,BCHEUR,482.9,487.6,466.0,472.2,115.396,55347.7068,749
1713571200000,2024-04-20,BCHEUR,447.8,491.6,443.8,484.9,332.532,154769.9777,1968
1713484800000,2024-04-19,BCHEUR,453.1,462.6,419.4,448.2,359.258,160447.0358,4545
1713398400000,2024-04-18,BCHEUR,433.9,459.5,425.9,454.9,257.964,115558.6072,2106
1713312000000,2024-04-17,BCHEUR,457.8,461.0,420.9,435.2,263.85,116238.6654,3088
1713225600000,2024-04-16,BCHEUR,478.6,481.0,437.5,461.2,542.068,248057.3236,7445
1713139200000,2024-04-15,BCHEUR,494.2,535.6,463.2,476.4,585.585,289300.2865,3248
1713052800000,2024-04-14,BCHEUR,457.9,500.4,431.7,496.8,1123.148,521719.9237,9128
1712966400000,2024-04-13,BCHEUR,503.0,520.8,427.9,458.2,2164.076,1021321.5319,10905
1712880000000,2024-04-12,BCHEUR,575.6,575.6,465.0,505.7,1049.078,534438.6687,2020
1712793600000,2024-04-11,BCHEUR,579.8,582.7,557.9,572.7,617.595,353355.8034,1199
1712707200000,2024-04-10,BCHEUR,618.6,619.5,549.3,583.5,1337.939,768422.1337,3574
