Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume EUR,tradecount
1717369200000,2024-06-02 23:00:00,BNBEUR,555.1,556.4,555.1,555.7,17.353,9647.7158,74
1717365600000,2024-06-02 22:00:00,BNBEUR,554.6,555.0,554.1,555.0,19.794,10978.5491,83
1717362000000,2024-06-02 21:00:00,BNBEUR,553.0,555.5,552.6,554.4,61.857,34251.0336,150
1717358400000,2024-06-02 20:00:00,BNBEUR,551.9,552.9,550.4,552.9,75.016,41412.9484,169
1717354800000,2024-06-02 19:00:00,BNBEUR,551.5,552.0,550.3,552.0,62.455,34430.7843,182
1717351200000,2024-06-02 18:00:00,BNBEUR,550.8,552.0,549.1,551.5,45.134,24854.2402,135
1717347600000,2024-06-02 17:00:00,BNBEUR,552.0,552.2,550.3,551.1,53.35,29388.8763,159
1717344000000,2024-06-02 16:00:00,BNBEUR,554.0,554.3,551.9,552.1,181.591,100288.3434,192
1717340400000,2024-06-02 15:00:00,BNBEUR,554.3,554.5,553.4,554.0,34.139,18910.2283,132
1717336800000,2024-06-02 14:00:00,BNBEUR,553.5,554.5,552.7,554.3,36.691,20316.9225,128
1717333200000,2024-06-02 13:00:00,BNBEUR,553.7,554.0,552.0,553.6,36.333,20095.5447,130
1717329600000,2024-06-02 12:00:00,BNBEUR,554.1,555.5,552.8,553.3,32.147,17806.701,122
1717326000000,2024-06-02 11:00:00,BNBEUR,550.9,554.5,550.5,554.0,19.181,10582.287,121
1717322400000,2024-06-02 10:00:00,BNBEUR,550.6,551.0,549.4,550.9,23.687,13035.7036,104
1717318800000,2024-06-02 09:00:00,BNBEUR,551.7,551.9,549.7,550.6,39.922,21973.0403,135
1717315200000,2024-06-02 08:00:00,BNBEUR,552.8,553.0,551.3,551.6,48.868,26975.4458,142
1717311600000,2024-06-02 07:00:00,BNBEUR,554.6,554.7,552.6,552.8,37.694,20866.2653,86
1717308000000,2024-06-02 06:00:00,BNBEUR,555.6,570.5,554.1,554.7,216.904,121535.1766,366
1717304400000,2024-06-02 05:00:00,BNBEUR,557.6,557.8,555.2,555.2,21.674,12062.4812,56
1717300800000,2024-06-02 04:00:00,BNBEUR,556.0,557.8,555.6,557.7,16.992,9461.9826,59
1717297200000,2024-06-02 03:00:00,BNBEUR,555.8,556.9,555.8,556.1,6.714,3735.5274,37
1717293600000,2024-06-02 02:00:00,BNBEUR,557.5,558.0,554.7,555.6,44.188,24591.7514,111
1717290000000,2024-06-02 01:00:00,BNBEUR,555.7,557.3,555.3,557.1,5.563,3092.9122,66
1717282800000,2024-06-01 23:00:00,BNBEUR,554.2,554.6,553.1,554.6,9.32,5158.5896,65
1717279200000,2024-06-01 22:00:00,BNBEUR,557.6,557.7,554.2,554.2,22.535,12542.3586,92
1717275600000,2024-06-01 21:00:00,BNBEUR,556.7,560.4,556.5,556.5,87.56,48994.9716,224
1717272000000,2024-06-01 20:00:00,BNBEUR,550.8,557.3,550.7,556.7,167.368,92716.5252,293
1717268400000,2024-06-01 19:00:00,BNBEUR,549.8,550.7,549.7,550.7,17.175,9445.8971,91
1717264800000,2024-06-01 18:00:00,BNBEUR,550.0,550.2,549.5,549.7,25.58,14068.1109,119
1717261200000,2024-06-01 17:00:00,BNBEUR,550.1,550.2,549.2,550.2,33.01,18150.9583,114
1717257600000,2024-06-01 16:00:00,BNBEUR,549.8,550.3,549.4,550.2,32.318,17770.0156,140
1717254000000,2024-06-01 15:00:00,BNBEUR,550.3,551.5,549.7,549.7,38.316,21101.7161,136
1717250400000,2024-06-01 14:00:00,BNBEUR,549.7,550.8,549.6,550.2,22.687,12483.6078,109
1717246800000,2024-06-01 13:00:00,BNBEUR,549.7,550.0,549.4,549.8,27.585,15165.0578,135
1717243200000,2024-06-01 12:00:00,BNBEUR,549.4,549.8,549.1,549.5,38.39,21092.1182,146
1717239600000,2024-06-01 11:00:00,BNBEUR,549.1,549.6,548.8,549.6,16.686,9162.7299,68
1717236000000,2024-06-01 10:00:00,BNBEUR,549.1,549.4,548.9,549.1,13.94,7655.1325,73
1717232400000,2024-06-01 09:00:00,BNBEUR,549.0,549.3,548.7,548.8,22.128,12147.8004,103
1717228800000,2024-06-01 08:00:00,BNBEUR,548.6,549.0,548.1,549.0,13.083,7175.3148,77
1717225200000,2024-06-01 07:00:00,BNBEUR,548.8,548.8,547.5,548.3,33.141,18168.1781,119
1717221600000,2024-06-01 06:00:00,BNBEUR,549.1,549.3,548.5,548.8,25.13,13789.2819,65
1717218000000,2024-06-01 05:00:00,BNBEUR,549.1,549.3,548.6,549.2,9.165,5031.1817,40
1717214400000,2024-06-01 04:00:00,BNBEUR,548.7,549.6,548.6,549.0,4.774,2620.4729,31
1717210800000,2024-06-01 03:00:00,BNBEUR,548.5,548.7,548.0,548.6,7.943,4354.7108,22
1717207200000,2024-06-01 02:00:00,BNBEUR,547.8,548.6,547.8,548.6,11.251,6167.3493,42
1717203600000,2024-06-01 01:00:00,BNBEUR,547.6,547.8,547.0,547.7,5.658,3097.3139,29
1717200000000,2024-06-01 00:00:00,BNBEUR,547.5,548.0,546.7,547.6,26.774,14656.5131,64
1717196400000,2024-05-31 23:00:00,BNBEUR,548.2,548.4,546.1,547.6,13.155,7201.9982,68
1717192800000,2024-05-31 22:00:00,BNBEUR,548.3,548.8,547.8,548.2,23.688,12992.1607,91
1717189200000,2024-05-31 21:00:00,BNBEUR,548.4,549.1,548.0,548.3,30.464,16710.7202,109
1717185600000,2024-05-31 20:00:00,BNBEUR,547.6,548.9,547.4,548.4,26.429,14484.9208,135
1717182000000,2024-05-31 19:00:00,BNBEUR,547.2,548.4,546.6,547.3,37.668,20614.014,154
1717178400000,2024-05-31 18:00:00,BNBEUR,547.0,547.4,546.3,547.3,29.477,16119.8714,120
1717174800000,2024-05-31 17:00:00,BNBEUR,546.1,547.1,546.1,546.8,36.992,20223.0582,122
1717171200000,2024-05-31 16:00:00,BNBEUR,545.1,546.5,544.3,546.5,56.305,30701.7203,189
1717167600000,2024-05-31 15:00:00,BNBEUR,546.9,548.0,545.5,545.5,41.139,22497.4259,156
1717164000000,2024-05-31 14:00:00,BNBEUR,547.0,547.6,545.2,546.9,74.303,40591.0314,234
1717160400000,2024-05-31 13:00:00,BNBEUR,549.7,550.1,546.5,547.0,40.915,22436.3307,170
1717156800000,2024-05-31 12:00:00,BNBEUR,548.5,552.0,548.3,549.5,100.173,55129.3106,201
1717153200000,2024-05-31 11:00:00,BNBEUR,548.0,549.0,547.5,548.5,39.234,21510.3578,162
1717149600000,2024-05-31 10:00:00,BNBEUR,546.5,548.9,546.2,547.6,71.679,39244.072,177
1717146000000,2024-05-31 09:00:00,BNBEUR,546.9,547.0,546.1,546.5,49.076,26816.3279,152
1717142400000,2024-05-31 08:00:00,BNBEUR,546.9,547.4,546.5,547.0,32.256,17643.1938,122
1717138800000,2024-05-31 07:00:00,BNBEUR,547.4,548.5,546.2,546.9,44.449,24331.6869,123
1717135200000,2024-05-31 06:00:00,BNBEUR,547.8,548.8,547.1,547.4,35.216,19296.2716,131
1717131600000,2024-05-31 05:00:00,BNBEUR,548.4,548.4,546.4,547.8,28.78,15760.5364,120
1717128000000,2024-05-31 04:00:00,BNBEUR,548.7,549.5,548.2,548.3,10.19,5593.9184,48
1717124400000,2024-05-31 03:00:00,BNBEUR,549.1,549.4,548.6,548.7,11.889,6525.6953,44
1717120800000,2024-05-31 02:00:00,BNBEUR,549.0,550.0,548.9,549.2,19.609,10771.5814,76
1717117200000,2024-05-31 01:00:00,BNBEUR,550.0,550.9,548.4,548.7,41.827,22980.9653,87
1717113600000,2024-05-31 00:00:00,BNBEUR,549.4,549.9,548.8,549.9,12.358,6787.8181,54
1717110000000,2024-05-30 23:00:00,BNBEUR,549.3,549.9,549.1,549.4,10.897,5986.5859,58
1717106400000,2024-05-30 22:00:00,BNBEUR,549.6,549.9,548.7,549.4,28.206,15497.6531,105
1717102800000,2024-05-30 21:00:00,BNBEUR,548.5,550.0,547.6,549.7,31.695,17412.4678,106
1717099200000,2024-05-30 20:00:00,BNBEUR,550.9,551.0,546.0,548.3,42.505,23294.8967,168
1717095600000,2024-05-30 19:00:00,BNBEUR,553.1,553.6,549.7,551.2,39.145,21608.8208,172
1717092000000,2024-05-30 18:00:00,BNBEUR,552.8,555.5,551.9,553.3,58.612,32476.5365,174
1717088400000,2024-05-30 17:00:00,BNBEUR,550.8,553.6,550.3,552.8,58.36,32233.0365,178
1717084800000,2024-05-30 16:00:00,BNBEUR,551.1,551.3,550.0,550.8,49.615,27321.1643,158
1717081200000,2024-05-30 15:00:00,BNBEUR,549.1,551.0,548.5,550.9,49.285,27094.5848,196
1717077600000,2024-05-30 14:00:00,BNBEUR,551.5,552.0,548.8,549.2,42.511,23404.3012,133
1717074000000,2024-05-30 13:00:00,BNBEUR,549.5,551.3,548.9,551.3,46.008,25305.8394,163
1717070400000,2024-05-30 12:00:00,BNBEUR,549.4,551.1,549.0,549.3,50.199,27624.2994,174
1717066800000,2024-05-30 11:00:00,BNBEUR,549.6,550.2,548.9,549.2,40.122,22053.9876,149
1717063200000,2024-05-30 10:00:00,BNBEUR,547.6,549.8,546.6,549.7,37.929,20785.2971,155
1717059600000,2024-05-30 09:00:00,BNBEUR,547.2,547.6,546.0,547.4,51.591,28210.9989,178
1717056000000,2024-05-30 08:00:00,BNBEUR,544.9,547.5,543.0,547.3,130.914,71414.6282,314
1717052400000,2024-05-30 07:00:00,BNBEUR,549.6,551.0,544.8,545.1,118.745,65140.4105,294
1717048800000,2024-05-30 06:00:00,BNBEUR,552.7,552.7,549.7,549.7,35.904,19782.2297,113
1717045200000,2024-05-30 05:00:00,BNBEUR,552.5,552.6,551.8,552.6,14.237,7859.9868,52
1717041600000,2024-05-30 04:00:00,BNBEUR,552.9,553.8,552.3,552.5,9.223,5099.2998,43
1717038000000,2024-05-30 03:00:00,BNBEUR,551.9,553.2,551.9,553.0,8.462,4677.4565,38
1717034400000,2024-05-30 02:00:00,BNBEUR,552.5,553.5,551.5,551.8,28.577,15783.3277,87
1717030800000,2024-05-30 01:00:00,BNBEUR,551.6,552.6,551.1,552.5,14.808,8173.5246,64
1717027200000,2024-05-30 00:00:00,BNBEUR,551.3,552.4,550.9,551.1,17.702,9765.9248,72
1717023600000,2024-05-29 23:00:00,BNBEUR,552.0,552.4,551.1,551.3,11.214,6189.1004,71
1717020000000,2024-05-29 22:00:00,BNBEUR,552.0,552.8,551.6,551.9,17.657,9750.3009,96
1717016400000,2024-05-29 21:00:00,BNBEUR,550.7,552.6,549.8,552.0,30.4,16750.9805,135
1717012800000,2024-05-29 20:00:00,BNBEUR,549.4,551.0,549.4,550.9,22.68,12477.2078,96
1717009200000,2024-05-29 19:00:00,BNBEUR,550.0,551.6,549.4,549.9,22.822,12562.475,118
1717005600000,2024-05-29 18:00:00,BNBEUR,551.1,551.2,549.0,550.0,45.548,25061.2527,161
1717002000000,2024-05-29 17:00:00,BNBEUR,551.3,551.8,549.7,551.1,30.719,16916.2651,136
1716998400000,2024-05-29 16:00:00,BNBEUR,550.4,551.7,548.7,551.3,67.993,37384.6161,191
1716994800000,2024-05-29 15:00:00,BNBEUR,551.6,552.8,550.2,550.7,48.107,26532.0146,171
1716991200000,2024-05-29 14:00:00,BNBEUR,551.4,552.6,550.7,551.5,34.623,19106.2698,139
1716987600000,2024-05-29 13:00:00,BNBEUR,552.6,554.8,540.0,551.6,181.375,99762.3039,362
1716984000000,2024-05-29 12:00:00,BNBEUR,552.2,553.7,550.5,552.6,50.557,27925.2825,157
1716980400000,2024-05-29 11:00:00,BNBEUR,552.9,553.8,551.8,552.0,44.685,24705.1996,142
1716976800000,2024-05-29 10:00:00,BNBEUR,551.3,553.5,551.3,553.5,67.909,37520.2441,161
1716973200000,2024-05-29 09:00:00,BNBEUR,552.7,553.4,550.6,551.6,45.965,25365.5109,153
1716969600000,2024-05-29 08:00:00,BNBEUR,551.1,553.0,549.9,552.7,49.845,27485.2993,192
1716966000000,2024-05-29 07:00:00,BNBEUR,554.6,554.6,551.2,551.2,32.191,17784.0875,113
1716962400000,2024-05-29 06:00:00,BNBEUR,555.1,555.6,554.5,555.0,26.869,14919.3807,82
1716958800000,2024-05-29 05:00:00,BNBEUR,555.0,555.4,554.5,554.8,17.78,9869.8487,52
1716955200000,2024-05-29 04:00:00,BNBEUR,554.1,555.1,554.0,554.7,35.092,19459.6469,68
1716951600000,2024-05-29 03:00:00,BNBEUR,554.2,555.4,553.7,553.7,31.322,17365.6837,72
1716948000000,2024-05-29 02:00:00,BNBEUR,554.3,555.5,553.7,554.0,27.465,15225.8198,60
1716944400000,2024-05-29 01:00:00,BNBEUR,554.9,555.0,553.6,554.3,6.801,3769.3042,27
1716940800000,2024-05-29 00:00:00,BNBEUR,554.2,555.2,554.0,554.3,21.032,11664.6385,72
1716937200000,2024-05-28 23:00:00,BNBEUR,555.0,555.0,554.0,554.4,9.752,5409.0191,41
1716933600000,2024-05-28 22:00:00,BNBEUR,554.6,555.1,554.4,554.9,27.056,15010.7253,113
