Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume EUR,tradecount
1717286400000,2024-06-02,BNBEUR,554.6,570.5,549.1,555.7,1146.677,635526.7231,3000
1717200000000,2024-06-01,BNBEUR,547.5,560.4,546.7,554.6,711.517,392715.9061,2397
1717113600000,2024-05-31,BNBEUR,549.4,552.0,544.3,547.6,907.271,496964.9873,3045
1717027200000,2024-05-30,BNBEUR,551.3,555.5,543.0,549.4,1015.252,558007.2586,3344
1716940800000,2024-05-29,BNBEUR,554.2,555.6,540.0,551.3,970.651,535552.7332,3027
1716854400000,2024-05-28,BNBEUR,555.2,557.0,545.6,554.4,1159.722,639708.5859,3402
1716768000000,2024-05-27,BNBEUR,553.0,565.0,552.0,555.3,1172.515,653825.1002,3644
1716681600000,2024-05-26,BNBEUR,555.5,557.9,551.2,552.8,535.846,297171.7277,2051
1716595200000,2024-05-25,BNBEUR,553.4,559.4,553.0,555.4,659.753,366611.5976,2253
1716508800000,2024-05-24,BNBEUR,554.1,559.5,543.8,553.5,1229.951,678040.2167,3864
1716422400000,2024-05-23,BNBEUR,567.3,569.0,536.7,554.0,2645.52,1468592.754,5224
1716336000000,2024-05-22,BNBEUR,565.8,576.6,562.2,567.0,2579.213,1469089.5434,5245
1716249600000,2024-05-21,BNBEUR,543.4,575.5,536.5,566.0,6092.249,3430766.0456,10872
1716163200000,2024-05-20,BNBEUR,528.2,545.0,523.8,542.8,2562.737,1366402.0398,5660
1716076800000,2024-05-19,BNBEUR,534.2,535.2,515.0,528.4,854.173,453289.2219,2500
1715990400000,2024-05-18,BNBEUR,534.0,535.0,524.5,534.1,832.048,442840.8614,2482
1715904000000,2024-05-17,BNBEUR,523.5,536.9,523.5,534.1,1084.486,576486.97,3353
1715817600000,2024-05-16,BNBEUR,533.1,538.2,518.7,523.8,1602.373,848370.2474,4253
1715731200000,2024-05-15,BNBEUR,524.3,539.9,519.3,533.2,1810.274,960877.2391,4983
1715644800000,2024-05-14,BNBEUR,548.3,549.6,519.6,524.5,1854.73,987883.7289,5120
1715558400000,2024-05-13,BNBEUR,552.7,555.6,543.5,548.5,1507.663,829859.6896,4633
1715472000000,2024-05-12,BNBEUR,550.6,557.0,546.0,552.6,1260.802,696750.7776,3049
1715385600000,2024-05-11,BNBEUR,544.5,552.6,540.2,550.5,1359.294,742866.0731,3366
1715299200000,2024-05-10,BNBEUR,553.6,554.3,540.2,544.7,1348.906,739014.3205,4186
1715212800000,2024-05-09,BNBEUR,546.9,562.6,545.5,553.7,2664.576,1478956.7258,5766
1715126400000,2024-05-08,BNBEUR,536.5,548.9,534.8,547.2,1566.935,851618.8309,4338
1715040000000,2024-05-07,BNBEUR,546.8,557.7,536.4,536.9,1606.914,880479.9441,4376
1714953600000,2024-05-06,BNBEUR,550.4,559.3,541.6,546.6,1414.212,776681.3503,4690
1714867200000,2024-05-05,BNBEUR,544.9,553.0,539.1,550.2,958.44,524105.7866,3419
1714780800000,2024-05-04,BNBEUR,546.3,552.1,542.2,544.7,1120.94,613161.1817,3562
1714694400000,2024-05-03,BNBEUR,523.3,548.8,521.8,546.3,1868.027,994457.4644,5015
1714608000000,2024-05-02,BNBEUR,525.1,529.6,505.0,523.1,1990.257,1035555.9305,5162
1714521600000,2024-05-01,BNBEUR,541.8,543.6,504.0,525.4,3178.716,1652339.8554,7325
1714435200000,2024-04-30,BNBEUR,553.6,564.3,520.2,542.2,3844.599,2076500.2022,8630
1714348800000,2024-04-29,BNBEUR,560.8,563.3,541.6,553.2,2359.31,1296404.0783,5157
1714262400000,2024-04-28,BNBEUR,558.5,569.5,558.5,561.1,1092.27,616358.5537,3418
1714176000000,2024-04-27,BNBEUR,559.7,560.9,547.7,558.3,1301.278,721331.0459,3932
1714089600000,2024-04-26,BNBEUR,572.6,574.1,558.2,559.4,1393.467,787121.3532,4338
1714003200000,2024-04-25,BNBEUR,569.6,576.3,561.8,572.0,1934.322,1101314.397,5732
1713916800000,2024-04-24,BNBEUR,567.2,579.4,554.9,569.5,2931.876,1665881.0014,6898
1713830400000,2024-04-23,BNBEUR,568.1,580.6,561.5,567.1,2785.412,1586061.9385,6636
1713744000000,2024-04-22,BNBEUR,545.1,570.9,543.0,569.0,2362.187,1326582.0384,6151
1713657600000,2024-04-21,BNBEUR,537.7,548.1,532.9,544.9,1237.044,669912.0475,3652
1713571200000,2024-04-20,BNBEUR,521.2,540.6,515.9,537.7,1157.772,612556.0827,3993
1713484800000,2024-04-19,BNBEUR,519.4,529.7,494.3,520.8,2014.618,1046732.2989,5670
1713398400000,2024-04-18,BNBEUR,501.2,521.7,494.7,519.3,2239.939,1149410.4561,6304
1713312000000,2024-04-17,BNBEUR,507.0,515.4,482.7,501.3,2238.116,1123191.3717,6599
1713225600000,2024-04-16,BNBEUR,520.7,522.9,493.3,507.1,2970.4,1507998.5099,8453
1713139200000,2024-04-15,BNBEUR,534.7,550.9,513.6,520.8,3343.865,1788162.337,10336
1713052800000,2024-04-14,BNBEUR,526.7,545.2,508.5,535.0,6169.356,3257293.0381,17171
1712966400000,2024-04-13,BNBEUR,562.6,568.0,486.1,527.9,9836.099,5236006.7953,26299
1712880000000,2024-04-12,BNBEUR,563.6,588.0,540.0,562.6,5887.647,3362942.3633,14128
1712793600000,2024-04-11,BNBEUR,565.0,571.6,551.1,563.6,3066.546,1724229.4596,8418
1712707200000,2024-04-10,BNBEUR,534.9,567.4,528.9,565.2,4305.165,2369806.8623,10788
1712620800000,2024-04-09,BNBEUR,537.5,541.3,526.4,535.4,2512.819,1342803.8724,7772
1712534400000,2024-04-08,BNBEUR,539.7,555.0,533.6,538.0,3420.834,1861842.5266,9149
1712448000000,2024-04-07,BNBEUR,541.1,546.0,520.0,539.7,1552.162,837630.6119,5012
1712361600000,2024-04-06,BNBEUR,534.0,546.2,531.8,541.0,1341.304,723967.5542,4904
1712275200000,2024-04-05,BNBEUR,541.2,546.3,522.5,534.2,2791.975,1492238.4504,8791
1712188800000,2024-04-04,BNBEUR,518.9,551.5,518.5,541.1,4220.294,2280605.2857,11482
1712102400000,2024-04-03,BNBEUR,513.0,528.5,501.9,518.8,3205.002,1658288.3896,8273
1712016000000,2024-04-02,BNBEUR,537.1,539.3,508.1,512.9,3875.124,2016201.2208,10484
1711929600000,2024-04-01,BNBEUR,562.6,563.6,530.3,536.9,3861.205,2094267.6075,10129
1711843200000,2024-03-31,BNBEUR,557.6,564.9,557.6,563.0,1483.912,833033.5819,5497
1711756800000,2024-03-30,BNBEUR,569.3,569.5,553.6,557.6,2398.497,1344801.9873,7652
1711670400000,2024-03-29,BNBEUR,540.8,575.2,539.9,569.1,4854.274,2744093.3214,13626
1711584000000,2024-03-28,BNBEUR,531.7,549.0,531.7,540.8,2277.991,1234628.9088,8105
1711497600000,2024-03-27,BNBEUR,536.2,541.1,522.0,531.6,2338.635,1243517.5325,7959
1711411200000,2024-03-26,BNBEUR,540.8,551.0,528.4,536.4,2416.596,1305411.6557,8233
1711324800000,2024-03-25,BNBEUR,525.7,552.2,522.9,540.8,3882.565,2103562.3055,10370
1711238400000,2024-03-24,BNBEUR,511.4,530.3,508.7,525.6,2045.287,1061940.3698,5866
1711152000000,2024-03-23,BNBEUR,513.0,526.1,503.1,511.4,2586.846,1336178.7949,7001
1711065600000,2024-03-22,BNBEUR,510.2,543.4,495.9,512.9,5608.114,2925282.862,13625
1710979200000,2024-03-21,BNBEUR,510.3,523.5,495.3,510.1,4051.948,2071796.3527,10974
1710892800000,2024-03-20,BNBEUR,467.1,512.9,460.7,510.4,5745.531,2806627.378,16151
1710806400000,2024-03-19,BNBEUR,511.3,515.9,457.3,467.5,8231.787,3960213.8339,25389
1710720000000,2024-03-18,BNBEUR,525.7,539.8,497.5,511.5,6261.997,3220371.7819,19941
1710633600000,2024-03-17,BNBEUR,530.2,544.2,505.0,525.8,4881.27,2581400.519,17109
1710547200000,2024-03-16,BNBEUR,581.8,593.5,521.2,530.3,8206.056,4543390.972726,26631
