Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR,tradecount
1717369200000,2024-06-02 23:00:00,BTCEUR,62595.83,62634.5,62462.56,62467.0,0.64015,40018.6496401,76
1717365600000,2024-06-02 22:00:00,BTCEUR,62499.71,62640.65,62496.32,62595.8,1.48637,92971.4828313,159
1717362000000,2024-06-02 21:00:00,BTCEUR,62494.25,62568.55,62427.02,62483.11,2.23668,139819.2101882,178
1717358400000,2024-06-02 20:00:00,BTCEUR,62389.61,62482.75,62244.79,62482.75,2.5337,158013.6113001,375
1717354800000,2024-06-02 19:00:00,BTCEUR,62366.7,62443.49,62001.0,62393.21,6.2388,388114.1180645,546
1717351200000,2024-06-02 18:00:00,BTCEUR,62530.01,62530.01,62146.6,62364.22,3.52799,219886.8770625,485
1717347600000,2024-06-02 17:00:00,BTCEUR,62731.9,62731.9,62480.51,62562.61,3.09621,193760.6814788,318
1717344000000,2024-06-02 16:00:00,BTCEUR,62771.26,62824.49,62618.22,62736.58,0.75048,47056.695719,139
1717340400000,2024-06-02 15:00:00,BTCEUR,62911.57,62911.57,62648.81,62769.7,1.9174,120284.0039673,186
1717336800000,2024-06-02 14:00:00,BTCEUR,62784.27,63055.18,62708.11,62876.97,6.27093,394299.0126594,536
1717333200000,2024-06-02 13:00:00,BTCEUR,62588.27,62835.95,62465.01,62790.15,2.54069,159182.9850832,249
1717329600000,2024-06-02 12:00:00,BTCEUR,62911.46,62915.59,62521.33,62590.97,2.86604,179788.5225646,371
1717326000000,2024-06-02 11:00:00,BTCEUR,62228.0,62909.02,62178.43,62887.24,4.46333,279586.396919,403
1717322400000,2024-06-02 10:00:00,BTCEUR,62223.56,62255.73,62074.57,62216.55,2.36153,146830.2623492,299
1717318800000,2024-06-02 09:00:00,BTCEUR,62426.2,62431.94,62102.9,62216.5,5.47321,340778.2119688,412
1717315200000,2024-06-02 08:00:00,BTCEUR,62386.04,62467.23,62340.43,62406.95,1.80421,112606.7897271,258
1717311600000,2024-06-02 07:00:00,BTCEUR,62500.28,62511.56,62379.42,62384.8,0.7231,45141.3013251,208
1717308000000,2024-06-02 06:00:00,BTCEUR,62418.46,62500.28,62391.44,62500.28,0.64496,40286.9378428,199
1717304400000,2024-06-02 05:00:00,BTCEUR,62513.97,62527.31,62400.01,62400.01,0.52286,32648.7213414,132
1717300800000,2024-06-02 04:00:00,BTCEUR,62454.49,62510.46,62412.41,62504.31,0.0907,5665.240177,31
1717297200000,2024-06-02 03:00:00,BTCEUR,62404.63,62472.17,62404.63,62450.0,0.15698,9803.3657565,35
1717293600000,2024-06-02 02:00:00,BTCEUR,62417.7,62477.49,62315.26,62401.67,0.72842,45464.0746185,153
1717290000000,2024-06-02 01:00:00,BTCEUR,62549.91,62549.91,62377.0,62417.7,0.80821,50474.0819979,146
1717282800000,2024-06-01 23:00:00,BTCEUR,62459.2,62494.09,62398.04,62440.89,0.287,17925.7993523,103
