Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR,tradecount
1717369200000,2024-06-02 23:00:00,ETHEUR,3488.57,3490.03,3484.21,3484.35,23.854,83187.419893,151
1717365600000,2024-06-02 22:00:00,ETHEUR,3486.15,3498.41,3479.9,3484.64,62.8236,219272.2803,307
1717362000000,2024-06-02 21:00:00,ETHEUR,3488.87,3495.63,3484.9,3486.4,37.5497,130999.844809,237
1717358400000,2024-06-02 20:00:00,ETHEUR,3482.48,3488.82,3469.39,3488.82,46.3268,161097.263676,319
1717354800000,2024-06-02 19:00:00,ETHEUR,3472.71,3484.48,3463.92,3484.43,38.9312,135164.271432,298
1717351200000,2024-06-02 18:00:00,ETHEUR,3475.0,3476.77,3457.34,3472.59,90.3137,313118.89976,533
1717347600000,2024-06-02 17:00:00,ETHEUR,3492.42,3492.8,3475.0,3475.13,78.1551,272034.772348,410
1717344000000,2024-06-02 16:00:00,ETHEUR,3499.19,3503.29,3489.07,3492.42,56.4302,197123.457499,296
1717340400000,2024-06-02 15:00:00,ETHEUR,3507.32,3507.32,3494.14,3498.57,46.88,164074.718748,267
1717336800000,2024-06-02 14:00:00,ETHEUR,3495.47,3508.6,3491.22,3505.62,109.299,382523.763634,543
1717333200000,2024-06-02 13:00:00,ETHEUR,3489.49,3501.35,3479.67,3496.99,112.9872,394310.170788,437
1717329600000,2024-06-02 12:00:00,ETHEUR,3505.43,3508.81,3488.0,3490.2,55.3365,193456.554135,345
1717326000000,2024-06-02 11:00:00,ETHEUR,3483.06,3509.44,3479.53,3505.58,71.0063,247923.524964,403
1717322400000,2024-06-02 10:00:00,ETHEUR,3482.86,3485.2,3474.55,3483.63,35.7855,124520.534595,290
1717318800000,2024-06-02 09:00:00,ETHEUR,3495.12,3497.73,3476.35,3483.31,64.6277,225369.687268,424
1717315200000,2024-06-02 08:00:00,ETHEUR,3494.44,3501.65,3485.47,3494.23,52.1939,182388.52699,331
1717311600000,2024-06-02 07:00:00,ETHEUR,3514.16,3514.52,3494.61,3494.63,43.0338,150766.750555,297
1717308000000,2024-06-02 06:00:00,ETHEUR,3505.74,3514.51,3505.74,3513.56,19.4074,68120.598135,122
1717304400000,2024-06-02 05:00:00,ETHEUR,3520.13,3522.04,3506.16,3508.18,16.1368,56646.866352,97
1717300800000,2024-06-02 04:00:00,ETHEUR,3507.31,3518.41,3504.48,3518.41,15.7292,55173.047576,88
1717297200000,2024-06-02 03:00:00,ETHEUR,3505.22,3510.3,3503.33,3508.04,10.8655,38103.662097,61
1717293600000,2024-06-02 02:00:00,ETHEUR,3520.18,3524.72,3499.16,3505.66,33.0575,116119.557159,193
1717290000000,2024-06-02 01:00:00,ETHEUR,3534.68,3535.0,3520.75,3520.75,15.7672,55637.70098,104
1717282800000,2024-06-01 23:00:00,ETHEUR,3521.88,3521.88,3512.62,3515.58,15.6949,55188.979647,126
1717279200000,2024-06-01 22:00:00,ETHEUR,3517.91,3532.01,3516.05,3521.47,33.5846,118271.551533,220
1717275600000,2024-06-01 21:00:00,ETHEUR,3506.6,3520.0,3506.39,3516.34,27.2791,95852.979638,204
1717272000000,2024-06-01 20:00:00,ETHEUR,3506.45,3507.7,3501.21,3507.7,16.0328,56181.455058,115
1717268400000,2024-06-01 19:00:00,ETHEUR,3505.07,3508.07,3499.29,3505.59,9.052,31721.215785,107
1717264800000,2024-06-01 18:00:00,ETHEUR,3510.0,3510.52,3499.65,3503.04,10.5277,36885.905981,136
1717261200000,2024-06-01 17:00:00,ETHEUR,3500.51,3509.79,3493.42,3508.97,30.1254,105437.028678,218
1717257600000,2024-06-01 16:00:00,ETHEUR,3501.71,3508.53,3495.14,3500.86,68.9607,241327.435501,283
1717254000000,2024-06-01 15:00:00,ETHEUR,3511.38,3513.85,3500.64,3501.01,19.5022,68431.42033,209
1717250400000,2024-06-01 14:00:00,ETHEUR,3504.97,3515.76,3499.74,3510.75,32.1054,112671.390085,539
1717246800000,2024-06-01 13:00:00,ETHEUR,3497.97,3510.99,3497.97,3504.45,26.9921,94591.312604,374
1717243200000,2024-06-01 12:00:00,ETHEUR,3491.0,3508.84,3490.7,3498.44,23.3613,81772.621784,181
1717239600000,2024-06-01 11:00:00,ETHEUR,3489.95,3496.99,3486.55,3491.39,19.5989,68413.05742,171
1717236000000,2024-06-01 10:00:00,ETHEUR,3497.99,3497.99,3487.95,3488.94,18.468,64507.762162,184
1717232400000,2024-06-01 09:00:00,ETHEUR,3504.38,3509.99,3491.84,3496.08,48.4492,169551.912597,322
1717228800000,2024-06-01 08:00:00,ETHEUR,3478.37,3502.49,3477.24,3500.08,110.5982,385941.74775,519
1717225200000,2024-06-01 07:00:00,ETHEUR,3492.25,3493.35,3475.35,3477.6,58.319,203110.486691,262
1717221600000,2024-06-01 06:00:00,ETHEUR,3492.16,3493.35,3486.95,3492.74,23.9074,83428.309207,183
1717218000000,2024-06-01 05:00:00,ETHEUR,3488.44,3496.32,3482.89,3492.64,27.4255,95651.585782,200
1717214400000,2024-06-01 04:00:00,ETHEUR,3481.63,3488.76,3475.98,3486.55,30.7065,106950.39818,237
1717210800000,2024-06-01 03:00:00,ETHEUR,3481.23,3485.51,3479.29,3482.9,23.1123,80494.623728,177
