Unix,Date,Symbol,Open,High,Low,Close,Volume ICP,Volume EUR,tradecount
1717369200000,2024-06-02 23:00:00,ICPEUR,10.939,10.939,10.939,10.939,2.67,29.20713,1
1717365600000,2024-06-02 22:00:00,ICPEUR,10.934,10.939,10.934,10.939,7.98,87.26662,2
1717362000000,2024-06-02 21:00:00,ICPEUR,10.941,10.941,10.91,10.91,9.0,98.31,3
1717358400000,2024-06-02 20:00:00,ICPEUR,10.889,10.95,10.876,10.91,186.08,2035.16682,22
1717354800000,2024-06-02 19:00:00,ICPEUR,10.901,10.906,10.864,10.889,58.4,636.22573,11
1717351200000,2024-06-02 18:00:00,ICPEUR,10.879,10.919,10.867,10.89,78.04,849.31544,8
1717347600000,2024-06-02 17:00:00,ICPEUR,10.99,10.99,10.935,10.935,61.47,674.5986,8
1717344000000,2024-06-02 16:00:00,ICPEUR,11.054,11.054,11.002,11.002,19.48,215.08501,7
1717340400000,2024-06-02 15:00:00,ICPEUR,11.14,11.14,11.14,11.14,0.0,0.0,0
1717336800000,2024-06-02 14:00:00,ICPEUR,11.14,11.14,11.14,11.14,117.31,1306.8334,1
1717333200000,2024-06-02 13:00:00,ICPEUR,11.14,11.14,11.14,11.14,10.0,111.4,3
1717329600000,2024-06-02 12:00:00,ICPEUR,11.121,11.121,10.997,10.997,176.37,1952.47511,12
1717326000000,2024-06-02 11:00:00,ICPEUR,11.018,11.018,11.018,11.018,0.0,0.0,0
1717322400000,2024-06-02 10:00:00,ICPEUR,11.018,11.018,11.018,11.018,0.0,0.0,0
1717318800000,2024-06-02 09:00:00,ICPEUR,11.07,11.07,11.0,11.018,132.68,1460.98495,10
1717315200000,2024-06-02 08:00:00,ICPEUR,11.084,11.098,11.084,11.098,19.1,211.93694,2
1717311600000,2024-06-02 07:00:00,ICPEUR,11.102,11.102,11.102,11.102,1.36,15.09872,1
1717308000000,2024-06-02 06:00:00,ICPEUR,11.182,11.182,11.182,11.182,0.0,0.0,0
1717304400000,2024-06-02 05:00:00,ICPEUR,11.159,11.182,11.158,11.182,61.47,686.28568,4
1717300800000,2024-06-02 04:00:00,ICPEUR,11.153,11.153,11.153,11.153,40.71,454.03863,2
1717297200000,2024-06-02 03:00:00,ICPEUR,11.177,11.177,11.177,11.177,0.0,0.0,0
1717293600000,2024-06-02 02:00:00,ICPEUR,11.177,11.177,11.177,11.177,0.0,0.0,0
1717290000000,2024-06-02 01:00:00,ICPEUR,11.176,11.206,11.176,11.177,117.84,1318.21152,6
1717282800000,2024-06-01 23:00:00,ICPEUR,11.14,11.14,11.133,11.133,43.12,480.16955,2
1717279200000,2024-06-01 22:00:00,ICPEUR,11.132,11.577,11.132,11.147,801.34,9055.87815,18
1717275600000,2024-06-01 21:00:00,ICPEUR,11.137,11.137,11.136,11.136,108.31,1206.14847,14
1717272000000,2024-06-01 20:00:00,ICPEUR,11.136,11.136,11.136,11.136,16.37,182.29632,1
1717268400000,2024-06-01 19:00:00,ICPEUR,11.156,11.156,11.156,11.156,0.0,0.0,0
1717264800000,2024-06-01 18:00:00,ICPEUR,11.156,11.156,11.156,11.156,8.25,92.037,1
1717261200000,2024-06-01 17:00:00,ICPEUR,11.152,11.156,11.125,11.156,97.6,1088.57405,5
1717257600000,2024-06-01 16:00:00,ICPEUR,11.15,11.15,11.15,11.15,1.34,14.941,1
1717254000000,2024-06-01 15:00:00,ICPEUR,11.2,11.2,11.108,11.108,71.59,796.39853,8
1717250400000,2024-06-01 14:00:00,ICPEUR,11.128,11.128,11.128,11.128,0.0,0.0,0
1717246800000,2024-06-01 13:00:00,ICPEUR,11.128,11.147,11.09,11.128,448.18,4980.12179,20
1717243200000,2024-06-01 12:00:00,ICPEUR,11.096,11.096,11.096,11.096,1.13,12.53848,1
1717239600000,2024-06-01 11:00:00,ICPEUR,11.116,11.141,11.113,11.113,158.66,1767.13447,6
1717236000000,2024-06-01 10:00:00,ICPEUR,11.123,11.218,11.122,11.141,148.01,1649.51753,8
1717232400000,2024-06-01 09:00:00,ICPEUR,11.086,11.126,11.086,11.115,3.64,40.44699,3
1717228800000,2024-06-01 08:00:00,ICPEUR,11.057,11.074,11.04,11.063,52.39,579.91686,5
1717225200000,2024-06-01 07:00:00,ICPEUR,11.031,11.033,11.028,11.033,49.65,547.7682,3
1717221600000,2024-06-01 06:00:00,ICPEUR,11.081,11.081,11.059,11.059,13.72,151.87952,3
1717218000000,2024-06-01 05:00:00,ICPEUR,11.031,11.082,11.031,11.082,76.79,850.66307,4
1717214400000,2024-06-01 04:00:00,ICPEUR,11.031,11.031,11.031,11.031,9.42,103.91202,1
1717210800000,2024-06-01 03:00:00,ICPEUR,10.997,11.054,10.997,11.049,242.47,2670.69316,12
1717207200000,2024-06-01 02:00:00,ICPEUR,10.998,10.998,10.998,10.998,9.1,100.0818,1
1717203600000,2024-06-01 01:00:00,ICPEUR,10.945,10.945,10.945,10.945,0.0,0.0,0
1717200000000,2024-06-01 00:00:00,ICPEUR,10.943,10.945,10.943,10.945,1.72,18.8234,2
1717196400000,2024-05-31 23:00:00,ICPEUR,10.953,10.96,10.916,10.916,35.94,393.6421,5
1717192800000,2024-05-31 22:00:00,ICPEUR,10.968,10.968,10.968,10.968,0.0,0.0,0
1717189200000,2024-05-31 21:00:00,ICPEUR,10.968,10.968,10.968,10.968,0.61,6.69048,1
1717185600000,2024-05-31 20:00:00,ICPEUR,10.938,10.938,10.938,10.938,0.0,0.0,0
1717182000000,2024-05-31 19:00:00,ICPEUR,10.938,10.938,10.938,10.938,0.0,0.0,0
1717178400000,2024-05-31 18:00:00,ICPEUR,10.932,10.938,10.932,10.938,34.62,378.61848,3
1717174800000,2024-05-31 17:00:00,ICPEUR,10.932,10.932,10.931,10.931,2.0,21.863,2
1717171200000,2024-05-31 16:00:00,ICPEUR,10.8,10.808,10.741,10.807,157.38,1695.38409,11
1717167600000,2024-05-31 15:00:00,ICPEUR,10.93,10.93,10.834,10.834,105.27,1143.52731,12
1717164000000,2024-05-31 14:00:00,ICPEUR,10.9,10.924,10.871,10.871,129.42,1410.72482,15
1717160400000,2024-05-31 13:00:00,ICPEUR,11.099,11.099,10.922,10.922,69.0,756.09256,11
1717156800000,2024-05-31 12:00:00,ICPEUR,10.999,10.999,10.999,10.999,0.72,7.91928,1
1717153200000,2024-05-31 11:00:00,ICPEUR,10.968,10.995,10.968,10.989,57.5,631.62085,6
1717149600000,2024-05-31 10:00:00,ICPEUR,10.919,10.919,10.893,10.893,29.72,324.18964,3
1717146000000,2024-05-31 09:00:00,ICPEUR,10.934,10.948,10.9,10.903,74.19,809.46787,14
1717142400000,2024-05-31 08:00:00,ICPEUR,10.969,10.969,10.934,10.934,10.92,119.59038,2
1717138800000,2024-05-31 07:00:00,ICPEUR,10.969,10.969,10.969,10.969,5.94,65.15586,1
1717135200000,2024-05-31 06:00:00,ICPEUR,11.005,11.005,11.005,11.005,9.08,99.9254,1
1717131600000,2024-05-31 05:00:00,ICPEUR,11.0,11.0,11.0,11.0,2.27,24.97,1
1717128000000,2024-05-31 04:00:00,ICPEUR,11.041,11.041,11.041,11.041,0.0,0.0,0
1717124400000,2024-05-31 03:00:00,ICPEUR,11.042,11.042,11.041,11.041,8.98,99.15043,2
1717120800000,2024-05-31 02:00:00,ICPEUR,11.007,11.04,11.007,11.04,15.78,174.19041,4
1717117200000,2024-05-31 01:00:00,ICPEUR,11.055,11.055,10.95,10.973,63.68,702.3613,4
1717113600000,2024-05-31 00:00:00,ICPEUR,10.969,10.969,10.95,10.95,33.27,364.33253,4
1717110000000,2024-05-30 23:00:00,ICPEUR,10.95,10.95,10.95,10.95,0.0,0.0,0
1717106400000,2024-05-30 22:00:00,ICPEUR,11.084,11.114,10.95,10.95,176.14,1948.84005,19
1717102800000,2024-05-30 21:00:00,ICPEUR,11.083,11.083,11.082,11.082,6.4,70.92984,2
1717099200000,2024-05-30 20:00:00,ICPEUR,11.139,11.139,11.139,11.139,10.33,115.06587,3
1717095600000,2024-05-30 19:00:00,ICPEUR,11.29,11.293,11.196,11.196,184.98,2088.24403,4
1717092000000,2024-05-30 18:00:00,ICPEUR,11.296,11.296,11.296,11.296,4.51,50.94496,1
1717088400000,2024-05-30 17:00:00,ICPEUR,11.292,11.316,11.292,11.296,222.03,2509.24519,7
1717084800000,2024-05-30 16:00:00,ICPEUR,11.253,11.253,11.253,11.253,0.0,0.0,0
1717081200000,2024-05-30 15:00:00,ICPEUR,11.253,11.253,11.253,11.253,0.0,0.0,0
1717077600000,2024-05-30 14:00:00,ICPEUR,11.365,11.365,11.253,11.253,102.01,1155.98908,14
1717074000000,2024-05-30 13:00:00,ICPEUR,11.326,11.354,11.252,11.354,17.45,197.5743,6
1717070400000,2024-05-30 12:00:00,ICPEUR,11.232,11.328,11.23,11.328,187.82,2110.91142,17
1717066800000,2024-05-30 11:00:00,ICPEUR,11.24,11.254,11.186,11.186,26.39,296.35228,7
1717063200000,2024-05-30 10:00:00,ICPEUR,11.108,11.185,11.108,11.161,41.86,465.99106,4
1717059600000,2024-05-30 09:00:00,ICPEUR,11.03,11.03,11.03,11.03,0.0,0.0,0
1717056000000,2024-05-30 08:00:00,ICPEUR,10.883,11.03,10.88,11.03,55.71,609.66213,7
1717052400000,2024-05-30 07:00:00,ICPEUR,11.111,11.111,10.91,10.91,1437.87,15794.05039,28
1717048800000,2024-05-30 06:00:00,ICPEUR,11.28,11.28,11.28,11.28,0.0,0.0,0
1717045200000,2024-05-30 05:00:00,ICPEUR,11.28,11.28,11.28,11.28,0.0,0.0,0
1717041600000,2024-05-30 04:00:00,ICPEUR,11.288,11.299,11.28,11.28,44.18,498.70215,4
1717038000000,2024-05-30 03:00:00,ICPEUR,11.231,11.231,11.231,11.231,45.29,508.65199,2
1717034400000,2024-05-30 02:00:00,ICPEUR,11.174,11.174,11.174,11.174,0.0,0.0,0
1717030800000,2024-05-30 01:00:00,ICPEUR,11.174,11.174,11.174,11.174,0.0,0.0,0
1717027200000,2024-05-30 00:00:00,ICPEUR,11.174,11.174,11.174,11.174,0.0,0.0,0
1717023600000,2024-05-29 23:00:00,ICPEUR,11.226,11.226,11.174,11.174,76.8,858.26208,10
1717020000000,2024-05-29 22:00:00,ICPEUR,11.235,11.299,11.234,11.299,33.58,378.27401,3
1717016400000,2024-05-29 21:00:00,ICPEUR,11.238,11.255,11.238,11.255,34.36,386.39761,3
1717012800000,2024-05-29 20:00:00,ICPEUR,11.237,11.237,11.214,11.214,5.54,62.13798,2
1717009200000,2024-05-29 19:00:00,ICPEUR,11.234,11.234,11.234,11.234,3.83,43.02622,1
1717005600000,2024-05-29 18:00:00,ICPEUR,11.292,11.292,11.292,11.292,8.41,94.96572,1
1717002000000,2024-05-29 17:00:00,ICPEUR,11.166,11.166,11.166,11.166,0.0,0.0,0
1716998400000,2024-05-29 16:00:00,ICPEUR,11.166,11.166,11.166,11.166,0.0,0.0,0
1716994800000,2024-05-29 15:00:00,ICPEUR,11.217,11.218,11.166,11.166,49.79,558.45902,4
1716991200000,2024-05-29 14:00:00,ICPEUR,11.257,11.273,11.257,11.273,5.88,66.19964,2
1716987600000,2024-05-29 13:00:00,ICPEUR,11.268,11.3,11.261,11.265,1423.97,16085.51139,23
1716984000000,2024-05-29 12:00:00,ICPEUR,11.279,11.281,11.208,11.208,29.68,333.60501,5
1716980400000,2024-05-29 11:00:00,ICPEUR,11.318,11.318,11.307,11.307,7.05,79.7853,2
1716976800000,2024-05-29 10:00:00,ICPEUR,11.266,11.312,11.266,11.312,31.61,357.52274,4
1716973200000,2024-05-29 09:00:00,ICPEUR,11.259,11.326,11.223,11.223,437.58,4929.15609,18
1716969600000,2024-05-29 08:00:00,ICPEUR,11.182,11.256,11.051,11.256,117.79,1304.56298,7
1716966000000,2024-05-29 07:00:00,ICPEUR,11.26,11.26,11.146,11.146,4.03,45.14752,3
1716962400000,2024-05-29 06:00:00,ICPEUR,11.367,11.367,11.317,11.317,4.96,56.28328,4
1716958800000,2024-05-29 05:00:00,ICPEUR,11.305,11.305,11.288,11.288,28.32,319.8584,5
1716955200000,2024-05-29 04:00:00,ICPEUR,11.175,11.251,11.175,11.251,17.59,196.62985,4
1716951600000,2024-05-29 03:00:00,ICPEUR,11.154,11.154,11.154,11.154,1.25,13.9425,1
1716948000000,2024-05-29 02:00:00,ICPEUR,11.165,11.165,11.165,11.165,12.45,139.00425,1
1716944400000,2024-05-29 01:00:00,ICPEUR,11.045,11.045,11.045,11.045,74.73,825.39285,1
1716940800000,2024-05-29 00:00:00,ICPEUR,11.144,11.144,11.123,11.123,71.72,797.8054,5
1716937200000,2024-05-28 23:00:00,ICPEUR,11.162,11.163,11.145,11.145,110.18,1229.33653,9
1716933600000,2024-05-28 22:00:00,ICPEUR,11.163,11.163,11.163,11.163,0.0,0.0,0
1716930000000,2024-05-28 21:00:00,ICPEUR,11.189,11.189,11.163,11.163,174.47,1947.96698,6
1716926400000,2024-05-28 20:00:00,ICPEUR,11.232,11.232,11.232,11.232,147.09,1652.11488,1
1716922800000,2024-05-28 19:00:00,ICPEUR,11.135,11.135,11.135,11.135,0.98,10.9123,1
1716919200000,2024-05-28 18:00:00,ICPEUR,11.108,11.108,11.108,11.108,16.54,183.72632,1
1716915600000,2024-05-28 17:00:00,ICPEUR,11.097,11.171,11.097,11.133,87.14,970.73191,5
1716912000000,2024-05-28 16:00:00,ICPEUR,11.118,11.118,11.118,11.118,10.36,115.18248,4
1716908400000,2024-05-28 15:00:00,ICPEUR,11.033,11.098,11.033,11.098,45.58,502.95044,7
1716904800000,2024-05-28 14:00:00,ICPEUR,11.035,11.035,11.0,11.0,96.68,1064.53374,13
1716901200000,2024-05-28 13:00:00,ICPEUR,11.093,11.094,11.093,11.094,28.98,321.47655,4
1716897600000,2024-05-28 12:00:00,ICPEUR,11.157,11.187,11.157,11.187,1.48,16.54266,2
1716894000000,2024-05-28 11:00:00,ICPEUR,11.257,11.257,11.257,11.257,0.0,0.0,0
1716890400000,2024-05-28 10:00:00,ICPEUR,11.267,11.267,11.252,11.257,5.23,58.88871,3
1716886800000,2024-05-28 09:00:00,ICPEUR,11.123,11.24,11.123,11.24,49.22,552.73216,5
1716883200000,2024-05-28 08:00:00,ICPEUR,11.146,11.146,11.146,11.146,0.0,0.0,0
1716879600000,2024-05-28 07:00:00,ICPEUR,11.146,11.146,11.146,11.146,0.0,0.0,0
1716876000000,2024-05-28 06:00:00,ICPEUR,11.143,11.147,11.113,11.146,182.71,2035.94761,16
1716872400000,2024-05-28 05:00:00,ICPEUR,11.147,11.292,11.147,11.162,91.52,1021.81981,6
1716868800000,2024-05-28 04:00:00,ICPEUR,11.281,11.281,11.035,11.108,265.23,2964.55083,16
1716865200000,2024-05-28 03:00:00,ICPEUR,11.371,11.371,11.257,11.257,3.99,45.14172,3
1716861600000,2024-05-28 02:00:00,ICPEUR,11.178,11.418,11.178,11.418,10.14,115.33289,4
1716858000000,2024-05-28 01:00:00,ICPEUR,11.419,11.439,11.221,11.221,10.62,120.69729,6
1716854400000,2024-05-28 00:00:00,ICPEUR,11.343,11.343,11.286,11.286,2.66,30.09657,2
1716850800000,2024-05-27 23:00:00,ICPEUR,11.395,11.398,11.389,11.394,72.63,827.49087,10
1716847200000,2024-05-27 22:00:00,ICPEUR,11.389,11.389,11.389,11.389,0.0,0.0,0
1716843600000,2024-05-27 21:00:00,ICPEUR,11.345,11.389,11.345,11.389,20.48,232.53392,2
1716840000000,2024-05-27 20:00:00,ICPEUR,11.332,11.9,11.315,11.315,957.4,10953.15439,26
1716836400000,2024-05-27 19:00:00,ICPEUR,11.283,11.283,11.226,11.226,2.67,30.04923,2
1716832800000,2024-05-27 18:00:00,ICPEUR,11.398,11.398,11.323,11.324,369.25,4195.89095,15
1716829200000,2024-05-27 17:00:00,ICPEUR,11.438,11.44,11.398,11.398,103.24,1180.72334,8
1716825600000,2024-05-27 16:00:00,ICPEUR,11.535,11.558,11.456,11.558,15.72,180.92164,5
1716822000000,2024-05-27 15:00:00,ICPEUR,11.292,11.512,11.292,11.501,274.52,3138.31161,14
1716818400000,2024-05-27 14:00:00,ICPEUR,11.219,11.232,11.077,11.202,1577.95,17544.33884,16
1716814800000,2024-05-27 13:00:00,ICPEUR,11.077,11.077,11.077,11.077,0.0,0.0,0
1716811200000,2024-05-27 12:00:00,ICPEUR,11.077,11.077,11.077,11.077,25.0,276.925,1
1716807600000,2024-05-27 11:00:00,ICPEUR,11.149,11.149,11.054,11.077,229.38,2539.1787,13
1716804000000,2024-05-27 10:00:00,ICPEUR,11.074,11.074,11.074,11.074,0.0,0.0,0
1716800400000,2024-05-27 09:00:00,ICPEUR,11.074,11.074,11.074,11.074,0.5,5.537,1
1716796800000,2024-05-27 08:00:00,ICPEUR,11.111,11.12,11.111,11.12,20.2,224.52247,3
1716793200000,2024-05-27 07:00:00,ICPEUR,11.056,11.057,11.02,11.02,90.14,995.6449,3
1716789600000,2024-05-27 06:00:00,ICPEUR,11.103,11.103,11.039,11.039,120.76,1333.14915,3
1716786000000,2024-05-27 05:00:00,ICPEUR,11.186,11.186,11.186,11.186,0.0,0.0,0
1716782400000,2024-05-27 04:00:00,ICPEUR,11.186,11.186,11.186,11.186,16.47,184.23342,1
