Unix,Date,Symbol,Open,High,Low,Close,Volume ICP,Volume EUR,tradecount
1717286400000,2024-06-02,ICPEUR,11.17,11.206,10.864,10.939,1145.34,12649.3349,106
1717200000000,2024-06-01,ICPEUR,10.943,11.577,10.943,11.133,2362.8,26389.94036,119
1717113600000,2024-05-31,ICPEUR,10.969,11.099,10.741,10.916,846.29,9229.41679,103
1717027200000,2024-05-30,ICPEUR,11.231,11.365,10.88,10.95,2562.97,28421.15474,125
1716940800000,2024-05-29,ICPEUR,11.144,11.367,11.045,11.174,2480.92,27931.92984,109
1716854400000,2024-05-28,ICPEUR,11.343,11.439,11.0,11.145,1340.8,14960.68238,114
1716768000000,2024-05-27,ICPEUR,11.075,11.9,11.02,11.394,3958.48,44539.1513,129
1716681600000,2024-05-26,ICPEUR,11.365,11.564,11.05,11.195,3708.16,41945.49501,194
1716595200000,2024-05-25,ICPEUR,11.384,11.457,11.281,11.365,642.22,7297.99727,60
1716508800000,2024-05-24,ICPEUR,11.383,11.46,11.104,11.397,1955.74,22185.59514,119
1716422400000,2024-05-23,ICPEUR,11.799,11.979,10.873,11.348,5708.53,66357.36415,281
1716336000000,2024-05-22,ICPEUR,12.18,12.259,11.801,11.847,2616.88,31528.13696,174
1716249600000,2024-05-21,ICPEUR,12.277,12.62,12.025,12.172,15044.27,186439.45322,608
1716163200000,2024-05-20,ICPEUR,11.628,12.347,11.403,12.287,10178.9,120876.92526,510
1716076800000,2024-05-19,ICPEUR,12.188,12.4,11.546,11.57,6275.07,75140.52966,328
1715990400000,2024-05-18,ICPEUR,12.06,12.545,11.937,12.188,6441.95,79123.97502,327
1715904000000,2024-05-17,ICPEUR,11.208,12.139,11.087,12.036,5049.09,59719.44589,231
1715817600000,2024-05-16,ICPEUR,11.487,11.487,10.99,11.133,3729.54,42005.0526,236
1715731200000,2024-05-15,ICPEUR,11.0,11.679,10.872,11.472,8454.8,95697.96968,491
1715644800000,2024-05-14,ICPEUR,10.915,11.229,10.696,10.946,9898.8,109027.97192,576
1715558400000,2024-05-13,ICPEUR,10.934,11.324,10.42,10.909,5978.3,65626.6014,383
1715472000000,2024-05-12,ICPEUR,11.045,11.186,10.814,10.891,2085.63,22898.66389,146
1715385600000,2024-05-11,ICPEUR,11.028,11.341,10.991,11.002,1825.8,20340.88798,145
1715299200000,2024-05-10,ICPEUR,11.283,11.629,10.82,11.042,5871.36,65784.61833,376
1715212800000,2024-05-09,ICPEUR,11.151,11.444,10.99,11.301,2463.71,27563.56269,233
1715126400000,2024-05-08,ICPEUR,11.52,11.739,11.179,11.215,3381.62,38578.0895,293
1715040000000,2024-05-07,ICPEUR,11.876,12.131,11.58,11.608,2343.96,27893.20847,228
1714953600000,2024-05-06,ICPEUR,12.166,13.0,11.89,11.89,14841.58,184285.8672,613
1714867200000,2024-05-05,ICPEUR,12.273,12.327,11.953,12.026,6200.94,74650.90576,325
1714780800000,2024-05-04,ICPEUR,12.666,12.666,12.158,12.228,6088.36,75709.41711,289
1714694400000,2024-05-03,ICPEUR,12.659,13.0,12.075,12.694,54022.83,694569.5841,1833
1714608000000,2024-05-02,ICPEUR,12.349,12.72,12.103,12.631,4711.25,58739.76704,355
1714521600000,2024-05-01,ICPEUR,12.03,12.481,11.432,12.341,9181.19,110223.0035,498
