Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR,tradecount
1717286400000,2024-06-02,LTCEUR,76.88,76.93,75.75,76.62,1057.061,80731.98105,1254
1717200000000,2024-06-01,LTCEUR,76.76,77.2,76.53,76.93,1208.425,92866.45246,1728
1717113600000,2024-05-31,LTCEUR,78.04,78.13,75.7,76.72,2588.189,199626.09278,2499
1717027200000,2024-05-30,LTCEUR,77.36,78.95,75.8,77.94,2924.428,226880.10064,2951
1716940800000,2024-05-29,LTCEUR,76.83,77.86,76.09,77.35,1799.836,139052.07381,2538
1716854400000,2024-05-28,LTCEUR,78.3,78.58,75.71,76.84,2223.283,170519.84453,3155
1716768000000,2024-05-27,LTCEUR,77.3,79.5,77.29,78.45,1779.097,139609.83765,1687
1716681600000,2024-05-26,LTCEUR,78.34,78.61,76.99,77.34,1584.676,123174.35435,1700
1716595200000,2024-05-25,LTCEUR,78.28,79.25,77.92,78.32,1863.683,146269.41034,1898
1716508800000,2024-05-24,LTCEUR,78.88,79.96,77.54,78.42,4565.484,359873.24262,4089
1716422400000,2024-05-23,LTCEUR,79.14,81.01,74.0,79.07,5444.435,428472.77561,4443
1716336000000,2024-05-22,LTCEUR,80.81,80.91,78.37,79.09,3500.305,278746.95442,2238
1716249600000,2024-05-21,LTCEUR,80.26,82.02,78.86,80.68,4983.063,402212.52957,3606
1716163200000,2024-05-20,LTCEUR,75.78,80.87,75.71,80.28,3698.308,288840.82478,2340
1716076800000,2024-05-19,LTCEUR,77.18,77.62,75.2,75.76,2149.132,164251.96317,1143
1715990400000,2024-05-18,LTCEUR,77.4,78.0,76.85,77.12,1975.448,152795.12626,1005
1715904000000,2024-05-17,LTCEUR,75.86,77.42,75.4,77.36,2255.429,172744.92125,1132
1715817600000,2024-05-16,LTCEUR,75.84,76.42,74.9,75.86,1901.07,143883.66634,1473
1715731200000,2024-05-15,LTCEUR,72.85,75.98,72.34,75.66,3080.627,227779.32315,1755
1715644800000,2024-05-14,LTCEUR,74.71,75.7,72.56,72.93,4534.609,335360.10431,2073
1715558400000,2024-05-13,LTCEUR,75.66,76.68,73.41,74.71,3881.086,292046.21694,1653
1715472000000,2024-05-12,LTCEUR,75.67,76.35,75.2,75.61,1104.561,83733.1624,700
1715385600000,2024-05-11,LTCEUR,74.68,76.46,74.54,75.74,1855.845,139788.20587,1027
1715299200000,2024-05-10,LTCEUR,76.97,77.47,73.98,74.59,2156.148,163112.98635,1446
1715212800000,2024-05-09,LTCEUR,75.96,77.11,74.97,77.05,2758.767,210318.67238,1617
1715126400000,2024-05-08,LTCEUR,75.39,76.59,73.94,75.93,3824.542,288163.07421,2075
