Unix,Date,Symbol,Open,High,Low,Close,Volume MATIC,Volume EUR,tradecount
1717369200000,2024-06-02 23:00:00,MATICEUR,0.6353,0.6372,0.6353,0.6353,910.4,579.37613,10
1717365600000,2024-06-02 22:00:00,MATICEUR,0.6358,0.6371,0.6342,0.6344,9683.0,6157.5456,47
1717362000000,2024-06-02 21:00:00,MATICEUR,0.6373,0.6377,0.6345,0.6356,3204.5,2038.10952,38
1717358400000,2024-06-02 20:00:00,MATICEUR,0.6358,0.6374,0.6325,0.6374,892.4,566.92667,47
1717354800000,2024-06-02 19:00:00,MATICEUR,0.6359,0.637,0.6332,0.6368,3040.6,1931.60176,78
1717351200000,2024-06-02 18:00:00,MATICEUR,0.6372,0.639,0.6323,0.6359,11971.9,7611.26349,129
1717347600000,2024-06-02 17:00:00,MATICEUR,0.6451,0.6451,0.6375,0.638,8865.6,5686.82299,103
1717344000000,2024-06-02 16:00:00,MATICEUR,0.6475,0.6481,0.6441,0.6454,4379.6,2829.7119,39
1717340400000,2024-06-02 15:00:00,MATICEUR,0.6473,0.648,0.6466,0.6473,8109.8,5248.90902,44
1717336800000,2024-06-02 14:00:00,MATICEUR,0.6434,0.647,0.6434,0.6456,3478.3,2246.98238,29
1717333200000,2024-06-02 13:00:00,MATICEUR,0.6417,0.6447,0.6405,0.6439,3004.5,1933.7239,54
1717329600000,2024-06-02 12:00:00,MATICEUR,0.644,0.644,0.6409,0.6415,1480.2,950.29684,45
1717326000000,2024-06-02 11:00:00,MATICEUR,0.6396,0.6437,0.6375,0.6437,1646.2,1053.94132,30
1717322400000,2024-06-02 10:00:00,MATICEUR,0.6401,0.6406,0.6378,0.6402,18046.9,11519.48588,70
1717318800000,2024-06-02 09:00:00,MATICEUR,0.644,0.6447,0.6388,0.6396,13918.3,8926.02987,67
1717315200000,2024-06-02 08:00:00,MATICEUR,0.6451,0.6457,0.6437,0.6446,1462.8,943.27039,40
1717311600000,2024-06-02 07:00:00,MATICEUR,0.6494,0.6498,0.6445,0.6451,5390.0,3498.93617,24
1717308000000,2024-06-02 06:00:00,MATICEUR,0.6475,0.6498,0.6475,0.6489,2325.9,1508.40061,21
1717304400000,2024-06-02 05:00:00,MATICEUR,0.6484,0.6484,0.6454,0.6467,1014.3,656.76642,16
1717300800000,2024-06-02 04:00:00,MATICEUR,0.6472,0.6476,0.6462,0.6474,2273.7,1470.84702,26
1717297200000,2024-06-02 03:00:00,MATICEUR,0.6451,0.6479,0.6451,0.6475,1646.6,1064.63709,22
1717293600000,2024-06-02 02:00:00,MATICEUR,0.6467,0.648,0.6437,0.6446,8456.8,5468.55586,64
1717290000000,2024-06-02 01:00:00,MATICEUR,0.6461,0.6479,0.6449,0.6466,1269.9,820.74049,34
1717282800000,2024-06-01 23:00:00,MATICEUR,0.6461,0.6461,0.6432,0.6436,3123.8,2011.70749,16
1717279200000,2024-06-01 22:00:00,MATICEUR,0.6461,0.6468,0.6459,0.6467,701.4,453.32003,13
1717275600000,2024-06-01 21:00:00,MATICEUR,0.6466,0.647,0.645,0.6454,1987.4,1284.83591,28
1717272000000,2024-06-01 20:00:00,MATICEUR,0.6448,0.6467,0.6448,0.6467,8639.3,5580.75814,58
1717268400000,2024-06-01 19:00:00,MATICEUR,0.6441,0.6448,0.6364,0.6448,26457.1,16967.0198,152
1717264800000,2024-06-01 18:00:00,MATICEUR,0.6468,0.6468,0.6438,0.6438,646.9,417.51114,16
1717261200000,2024-06-01 17:00:00,MATICEUR,0.6469,0.6473,0.6469,0.6469,792.8,513.08,17
