Unix,Date,Symbol,Open,High,Low,Close,Volume MATIC,Volume EUR,tradecount
1717286400000,2024-06-02,MATICEUR,0.6441,0.6498,0.6323,0.6353,117844.8,75598.3425,1090
1717200000000,2024-06-01,MATICEUR,0.6406,0.6482,0.6364,0.6436,87424.6,56242.06272,852
1717113600000,2024-05-31,MATICEUR,0.6424,0.6527,0.631,0.6411,165468.4,106312.69485,2018
1717027200000,2024-05-30,MATICEUR,0.6614,0.669,0.6342,0.643,264425.0,171904.59196,2612
1716940800000,2024-05-29,MATICEUR,0.6743,0.6884,0.6609,0.6617,496096.6,334186.34473,3534
1716854400000,2024-05-28,MATICEUR,0.6852,0.6895,0.6635,0.6743,167171.2,112588.81582,1808
1716768000000,2024-05-27,MATICEUR,0.6597,0.6908,0.6578,0.6842,198075.9,134608.93951,2011
1716681600000,2024-05-26,MATICEUR,0.6731,0.6758,0.6565,0.6601,63033.8,41900.90021,841
1716595200000,2024-05-25,MATICEUR,0.6661,0.6762,0.6648,0.6726,128927.2,86502.50662,1023
1716508800000,2024-05-24,MATICEUR,0.6862,0.6993,0.6513,0.6675,271224.9,182347.46056,2584
1716422400000,2024-05-23,MATICEUR,0.668,0.6998,0.644,0.6868,469715.5,316398.28833,4299
1716336000000,2024-05-22,MATICEUR,0.6677,0.6738,0.6488,0.667,188647.9,125442.89416,2236
1716249600000,2024-05-21,MATICEUR,0.6799,0.6941,0.6537,0.668,233208.9,157407.17723,2964
1716163200000,2024-05-20,MATICEUR,0.6295,0.685,0.6204,0.6803,283784.0,184068.37994,2531
1716076800000,2024-05-19,MATICEUR,0.6526,0.6554,0.6259,0.6276,187526.5,119554.72491,818
1715990400000,2024-05-18,MATICEUR,0.6562,0.664,0.651,0.6526,116128.7,76280.16675,800
1715904000000,2024-05-17,MATICEUR,0.6391,0.6627,0.6354,0.6563,269760.4,175668.11477,1445
1715817600000,2024-05-16,MATICEUR,0.6299,0.6433,0.6136,0.6386,240296.8,151288.4975,1328
1715731200000,2024-05-15,MATICEUR,0.6012,0.6326,0.5954,0.6296,230651.2,141667.77974,1437
1715644800000,2024-05-14,MATICEUR,0.6148,0.6177,0.5996,0.6009,264896.8,161108.28406,1679
1715558400000,2024-05-13,MATICEUR,0.6235,0.6309,0.6013,0.6149,311259.0,191803.44507,1840
1715472000000,2024-05-12,MATICEUR,0.6278,0.636,0.6214,0.6232,112525.2,70694.43012,584
1715385600000,2024-05-11,MATICEUR,0.6244,0.6385,0.6244,0.6282,77865.1,49387.85656,607
1715299200000,2024-05-10,MATICEUR,0.6439,0.651,0.6172,0.625,229922.4,145169.97611,1713
1715212800000,2024-05-09,MATICEUR,0.6334,0.6473,0.626,0.6438,219129.3,139622.42561,1334
1715126400000,2024-05-08,MATICEUR,0.6453,0.6472,0.6257,0.6332,210279.4,133680.74436,1868
1715040000000,2024-05-07,MATICEUR,0.6612,0.6685,0.6418,0.6453,212923.6,139917.59874,1923
1714953600000,2024-05-06,MATICEUR,0.6819,0.7293,0.66,0.6602,352764.1,243326.35011,2633
1714867200000,2024-05-05,MATICEUR,0.6786,0.6886,0.6685,0.6817,173312.3,117771.16534,1203
1714780800000,2024-05-04,MATICEUR,0.6806,0.6886,0.6734,0.6785,200171.6,136429.60166,1172
1714694400000,2024-05-03,MATICEUR,0.675,0.6896,0.667,0.681,203030.5,137368.02888,1442
1714608000000,2024-05-02,MATICEUR,0.6473,0.6776,0.6297,0.6727,345498.7,228131.05205,2271
1714521600000,2024-05-01,MATICEUR,0.6255,0.6534,0.5933,0.6472,521868.7,324278.20156,3358
1714435200000,2024-04-30,MATICEUR,0.6568,0.6652,0.6082,0.6256,436458.2,274138.30174,3736
1714348800000,2024-04-29,MATICEUR,0.6739,0.6849,0.6439,0.6577,388623.7,255836.19233,2567
1714262400000,2024-04-28,MATICEUR,0.6866,0.702,0.6719,0.6739,269869.5,186265.48525,1478
1714176000000,2024-04-27,MATICEUR,0.6581,0.6886,0.6379,0.6855,313224.2,206822.21658,2202
1714089600000,2024-04-26,MATICEUR,0.6729,0.6823,0.6543,0.6576,219013.5,145735.50052,2223
1714003200000,2024-04-25,MATICEUR,0.6598,0.6787,0.6456,0.6723,368350.7,243538.62158,2561
1713916800000,2024-04-24,MATICEUR,0.6818,0.7142,0.6528,0.6596,457251.0,313824.28087,2869
1713830400000,2024-04-23,MATICEUR,0.6955,0.703,0.677,0.6815,196091.9,134721.31359,1571
1713744000000,2024-04-22,MATICEUR,0.6711,0.704,0.6657,0.6978,331112.8,229157.51092,2386
1713657600000,2024-04-21,MATICEUR,0.695,0.7012,0.6597,0.6712,310698.6,210644.6957,1877
1713571200000,2024-04-20,MATICEUR,0.6316,0.6975,0.6246,0.6953,321862.3,213375.60592,2212
1713484800000,2024-04-19,MATICEUR,0.6356,0.6483,0.585,0.6324,643491.4,403241.39755,4794
1713398400000,2024-04-18,MATICEUR,0.6269,0.6495,0.61,0.6361,460277.3,289825.53017,3503
1713312000000,2024-04-17,MATICEUR,0.6615,0.669,0.6173,0.6268,428843.1,275624.00153,3145
1713225600000,2024-04-16,MATICEUR,0.6671,0.6894,0.6344,0.6626,528023.4,348837.39702,3683
